,text,label
98,I need some time to hide because of my responsibilities,0
99,I need some time to hide because of my opportunities,0
100,I need some time to relax because of my problems,0
101,I need some time to relax because of my feelings,0
102,I need some time to relax because of my thoughts,0
103,I need some time to relax because of my confusion,0
104,I need some time to relax because of my life,0
105,I need some time to relax because of my challenges,0
106,I need some time to relax because of my decisions,0
107,I need some time to relax because of my dilemmas,0
108,I need some time to relax because of my responsibilities,0
109,I need some time to relax because of my opportunities,0
110,I need some time to reflect because of my problems,0
111,I need some time to reflect because of my feelings,0
112,I need some time to reflect because of my thoughts,0
113,I need some time to reflect because of my confusion,0
114,I need some time to reflect because of my life,0
115,I need some time to reflect because of my challenges,0
116,I need some time to reflect because of my decisions,0
117,I need some time to reflect because of my dilemmas,0
118,I need some time to reflect because of my responsibilities,0
119,I need some time to reflect because of my opportunities,0
120,I need some time to read because of my problems,0
121,I need some time to read because of my feelings,0
122,I need some time to read because of my thoughts,0
123,I need some time to read because of my confusion,0
124,I need some time to read because of my life,0
125,I need some time to read because of my challenges,0
126,I need some time to read because of my decisions,0
127,I need some time to read because of my dilemmas,0
128,I need some time to read because of my responsibilities,0
129,I need some time to read because of my opportunities,0
130,I need some time to meditate because of my problems,0
131,I need some time to meditate because of my feelings,0
132,I need some time to meditate because of my thoughts,0
133,I need some time to meditate because of my confusion,0
134,I need some time to meditate because of my life,0
135,I need some time to meditate because of my challenges,0
136,I need some time to meditate because of my decisions,0
137,I need some time to meditate because of my dilemmas,0
138,I need some time to meditate because of my responsibilities,0
139,I need some time to meditate because of my opportunities,0
140,My days are filled with lonely and it's hard to cope,0
141,My days are filled with overwhelmed and it's hard to cope,0
142,My days are filled with excited and it's hard to cope,0
143,My days are filled with nervous and it's hard to cope,0
144,My days are filled with sad and it's hard to cope,0
145,My days are filled with joyful and it's hard to cope,0
146,My days are filled with fearful and it's hard to cope,0
147,My days are filled with content and it's hard to cope,0
148,My days are filled with anxious and it's hard to cope,0
149,My days are filled with hopeful and it's hard to cope,0
150,I often worry about my future and feel unhappy,0
151,I often worry about my future and feel stressed,0
152,I often worry about my future and feel confused,0
153,I often worry about my future and feel worried,0
154,I often worry about my future and feel anxious,0
155,I often worry about my future and feel frustrated,0
156,I often worry about my future and feel discontented,0
157,I often worry about my future and feel hopeless,0
158,I often worry about my future and feel irate,0
159,I often worry about my future and feel melancholic,0
160,Trying to manage my emotions about problems is exhausting,0
161,Trying to manage my emotions about feelings is exhausting,0
162,Trying to manage my emotions about thoughts is exhausting,0
163,Trying to manage my emotions about confusion is exhausting,0
164,Trying to manage my emotions about life is exhausting,0
165,Trying to manage my emotions about challenges is exhausting,0
166,Trying to manage my emotions about decisions is exhausting,0
167,Trying to manage my emotions about dilemmas is exhausting,0
168,Trying to manage my emotions about responsibilities is exhausting,0
169,Trying to manage my emotions about opportunities is exhausting,0
170,I don't feel like I can share my true feelings with anyone,0
171,The thought of tomorrow makes me feel unhappy,0
172,The thought of tomorrow makes me feel stressed,0
173,The thought of tomorrow makes me feel confused,0
174,The thought of tomorrow makes me feel worried,0
175,The thought of tomorrow makes me feel anxious,0
176,The thought of tomorrow makes me feel frustrated,0
177,The thought of tomorrow makes me feel discontented,0
178,The thought of tomorrow makes me feel hopeless,0
179,The thought of tomorrow makes me feel irate,0
180,The thought of tomorrow makes me feel melancholic,0
181,"My problems are overwhelming, and I need support",0
182,"My feelings are overwhelming, and I need support",0
183,"My thoughts are overwhelming, and I need support",0
184,"My confusion are overwhelming, and I need support",0
185,"My life are overwhelming, and I need support",0
186,"My challenges are overwhelming, and I need support",0
187,"My decisions are overwhelming, and I need support",0
188,"My dilemmas are overwhelming, and I need support",0
189,"My responsibilities are overwhelming, and I need support",0
190,"My opportunities are overwhelming, and I need support",0
191,It's a challenge to stay positive when I feel unhappy,0
192,It's a challenge to stay positive when I feel stressed,0
193,It's a challenge to stay positive when I feel confused,0
194,It's a challenge to stay positive when I feel worried,0
195,It's a challenge to stay positive when I feel anxious,0
196,It's a challenge to stay positive when I feel frustrated,0
197,It's a challenge to stay positive when I feel discontented,0
198,It's a challenge to stay positive when I feel hopeless,0
199,It's a challenge to stay positive when I feel irate,0
200,It's a challenge to stay positive when I feel melancholic,0
201,"At times, I feel unhappy without any apparent reason",0
202,"At times, I feel stressed without any apparent reason",0
203,"At times, I feel confused without any apparent reason",0
204,"At times, I feel worried without any apparent reason",0
205,"At times, I feel anxious without any apparent reason",0
206,"At times, I feel frustrated without any apparent reason",0
207,"At times, I feel discontented without any apparent reason",0
208,"At times, I feel hopeless without any apparent reason",0
209,"At times, I feel irate without any apparent reason",0
210,"At times, I feel melancholic without any apparent reason",0
211,I struggle to find joy in things I once loved,0
212,I'm searching for ways to deal with my lonely state,0
213,I'm searching for ways to deal with my overwhelmed state,0
214,I'm searching for ways to deal with my excited state,0
215,I'm searching for ways to deal with my nervous state,0
216,I'm searching for ways to deal with my sad state,0
217,I'm searching for ways to deal with my joyful state,0
218,I'm searching for ways to deal with my fearful state,0
219,I'm searching for ways to deal with my content state,0
220,I'm searching for ways to deal with my anxious state,0
221,I'm searching for ways to deal with my hopeful state,0
222,"Sometimes, it feels like my problems control my life",0
223,"Sometimes, it feels like my feelings control my life",0
224,"Sometimes, it feels like my thoughts control my life",0
225,"Sometimes, it feels like my confusion control my life",0
226,"Sometimes, it feels like my life control my life",0
227,"Sometimes, it feels like my challenges control my life",0
228,"Sometimes, it feels like my decisions control my life",0
229,"Sometimes, it feels like my dilemmas control my life",0
230,"Sometimes, it feels like my responsibilities control my life",0
231,"Sometimes, it feels like my opportunities control my life",0
232,I wish I could talk to someone about feeling unhappy,0
233,I wish I could talk to someone about feeling stressed,0
234,I wish I could talk to someone about feeling confused,0
235,I wish I could talk to someone about feeling worried,0
236,I wish I could talk to someone about feeling anxious,0
237,I wish I could talk to someone about feeling frustrated,0
238,I wish I could talk to someone about feeling discontented,0
239,I wish I could talk to someone about feeling hopeless,0
240,I wish I could talk to someone about feeling irate,0
241,I wish I could talk to someone about feeling melancholic,0
242,Every morning brings a sense of lonely that's hard to shake off,0
243,Every morning brings a sense of overwhelmed that's hard to shake off,0
244,Every morning brings a sense of excited that's hard to shake off,0
245,Every morning brings a sense of nervous that's hard to shake off,0
246,Every morning brings a sense of sad that's hard to shake off,0
247,Every morning brings a sense of joyful that's hard to shake off,0
248,Every morning brings a sense of fearful that's hard to shake off,0
249,Every morning brings a sense of content that's hard to shake off,0
250,Every morning brings a sense of anxious that's hard to shake off,0
251,Every morning brings a sense of hopeful that's hard to shake off,0
252,Finding peace has become my daily goal amidst lonely days,0
253,Finding peace has become my daily goal amidst overwhelmed days,0
254,Finding peace has become my daily goal amidst excited days,0
255,Finding peace has become my daily goal amidst nervous days,0
256,Finding peace has become my daily goal amidst sad days,0
257,Finding peace has become my daily goal amidst joyful days,0
258,Finding peace has become my daily goal amidst fearful days,0
259,Finding peace has become my daily goal amidst content days,0
260,Finding peace has become my daily goal amidst anxious days,0
261,Finding peace has become my daily goal amidst hopeful days,0
262,I'm really worried about my upcoming math exam,1
263,I'm really worried about my upcoming history exam,1
264,I'm really worried about my upcoming science exam,1
265,I'm really worried about my upcoming English exam,1
266,I'm really worried about my upcoming art exam,1
267,I'm really worried about my upcoming economics exam,1
268,I'm really worried about my upcoming philosophy exam,1
269,I'm really worried about my upcoming geography exam,1
270,I'm really worried about my upcoming biology exam,1
271,I'm really worried about my upcoming physics exam,1
272,"Lately, my grades in math have been unhappy",1
273,"Lately, my grades in math have been stressed",1
274,"Lately, my grades in math have been confused",1
275,"Lately, my grades in math have been worried",1
276,"Lately, my grades in math have been anxious",1
277,"Lately, my grades in math have been frustrated",1
278,"Lately, my grades in math have been discontented",1
279,"Lately, my grades in math have been hopeless",1
280,"Lately, my grades in math have been irate",1
281,"Lately, my grades in math have been melancholic",1
282,"Lately, my grades in history have been unhappy",1
283,"Lately, my grades in history have been stressed",1
284,"Lately, my grades in history have been confused",1
285,"Lately, my grades in history have been worried",1
286,"Lately, my grades in history have been anxious",1
287,"Lately, my grades in history have been frustrated",1
288,"Lately, my grades in history have been discontented",1
289,"Lately, my grades in history have been hopeless",1
290,"Lately, my grades in history have been irate",1
291,"Lately, my grades in history have been melancholic",1
292,"Lately, my grades in science have been unhappy",1
293,"Lately, my grades in science have been stressed",1
294,"Lately, my grades in science have been confused",1
295,"Lately, my grades in science have been worried",1
296,"Lately, my grades in science have been anxious",1
297,"Lately, my grades in science have been frustrated",1
298,"Lately, my grades in science have been discontented",1
299,"Lately, my grades in science have been hopeless",1
300,"Lately, my grades in science have been irate",1
301,"Lately, my grades in science have been melancholic",1
302,"Lately, my grades in English have been unhappy",1
303,"Lately, my grades in English have been stressed",1
304,"Lately, my grades in English have been confused",1
305,"Lately, my grades in English have been worried",1
306,"Lately, my grades in English have been anxious",1
307,"Lately, my grades in English have been frustrated",1
308,"Lately, my grades in English have been discontented",1
309,"Lately, my grades in English have been hopeless",1
310,"Lately, my grades in English have been irate",1
311,"Lately, my grades in English have been melancholic",1
312,"Lately, my grades in art have been unhappy",1
313,"Lately, my grades in art have been stressed",1
314,"Lately, my grades in art have been confused",1
315,"Lately, my grades in art have been worried",1
316,"Lately, my grades in art have been anxious",1
317,"Lately, my grades in art have been frustrated",1
318,"Lately, my grades in art have been discontented",1
319,"Lately, my grades in art have been hopeless",1
320,"Lately, my grades in art have been irate",1
321,"Lately, my grades in art have been melancholic",1
322,"Lately, my grades in economics have been unhappy",1
323,"Lately, my grades in economics have been stressed",1
324,"Lately, my grades in economics have been confused",1
325,"Lately, my grades in economics have been worried",1
326,"Lately, my grades in economics have been anxious",1
327,"Lately, my grades in economics have been frustrated",1
328,"Lately, my grades in economics have been discontented",1
329,"Lately, my grades in economics have been hopeless",1
330,"Lately, my grades in economics have been irate",1
331,"Lately, my grades in economics have been melancholic",1
332,"Lately, my grades in philosophy have been unhappy",1
333,"Lately, my grades in philosophy have been stressed",1
334,"Lately, my grades in philosophy have been confused",1
335,"Lately, my grades in philosophy have been worried",1
336,"Lately, my grades in philosophy have been anxious",1
337,"Lately, my grades in philosophy have been frustrated",1
338,"Lately, my grades in philosophy have been discontented",1
339,"Lately, my grades in philosophy have been hopeless",1
340,"Lately, my grades in philosophy have been irate",1
341,"Lately, my grades in philosophy have been melancholic",1
342,"Lately, my grades in geography have been unhappy",1
343,"Lately, my grades in geography have been stressed",1
344,"Lately, my grades in geography have been confused",1
345,"Lately, my grades in geography have been worried",1
346,"Lately, my grades in geography have been anxious",1
347,"Lately, my grades in geography have been frustrated",1
348,"Lately, my grades in geography have been discontented",1
349,"Lately, my grades in geography have been hopeless",1
350,"Lately, my grades in geography have been irate",1
351,"Lately, my grades in geography have been melancholic",1
352,"Lately, my grades in biology have been unhappy",1
353,"Lately, my grades in biology have been stressed",1
354,"Lately, my grades in biology have been confused",1
355,"Lately, my grades in biology have been worried",1
356,"Lately, my grades in biology have been anxious",1
357,"Lately, my grades in biology have been frustrated",1
358,"Lately, my grades in biology have been discontented",1
359,"Lately, my grades in biology have been hopeless",1
360,"Lately, my grades in biology have been irate",1
361,"Lately, my grades in biology have been melancholic",1
362,"Lately, my grades in physics have been unhappy",1
363,"Lately, my grades in physics have been stressed",1
364,"Lately, my grades in physics have been confused",1
365,"Lately, my grades in physics have been worried",1
366,"Lately, my grades in physics have been anxious",1
367,"Lately, my grades in physics have been frustrated",1
368,"Lately, my grades in physics have been discontented",1
369,"Lately, my grades in physics have been hopeless",1
370,"Lately, my grades in physics have been irate",1
371,"Lately, my grades in physics have been melancholic",1
372,Studying math has become increasingly unhappy,1
373,Studying math has become increasingly stressed,1
374,Studying math has become increasingly confused,1
375,Studying math has become increasingly worried,1
376,Studying math has become increasingly anxious,1
377,Studying math has become increasingly frustrated,1
378,Studying math has become increasingly discontented,1
379,Studying math has become increasingly hopeless,1
380,Studying math has become increasingly irate,1
381,Studying math has become increasingly melancholic,1
382,Studying history has become increasingly unhappy,1
383,Studying history has become increasingly stressed,1
384,Studying history has become increasingly confused,1
385,Studying history has become increasingly worried,1
386,Studying history has become increasingly anxious,1
387,Studying history has become increasingly frustrated,1
388,Studying history has become increasingly discontented,1
389,Studying history has become increasingly hopeless,1
390,Studying history has become increasingly irate,1
391,Studying history has become increasingly melancholic,1
392,Studying science has become increasingly unhappy,1
393,Studying science has become increasingly stressed,1
394,Studying science has become increasingly confused,1
395,Studying science has become increasingly worried,1
396,Studying science has become increasingly anxious,1
397,Studying science has become increasingly frustrated,1
398,Studying science has become increasingly discontented,1
399,Studying science has become increasingly hopeless,1
400,Studying science has become increasingly irate,1
401,Studying science has become increasingly melancholic,1
402,Studying English has become increasingly unhappy,1
403,Studying English has become increasingly stressed,1
404,Studying English has become increasingly confused,1
405,Studying English has become increasingly worried,1
406,Studying English has become increasingly anxious,1
407,Studying English has become increasingly frustrated,1
408,Studying English has become increasingly discontented,1
409,Studying English has become increasingly hopeless,1
410,Studying English has become increasingly irate,1
411,Studying English has become increasingly melancholic,1
412,Studying art has become increasingly unhappy,1
413,Studying art has become increasingly stressed,1
414,Studying art has become increasingly confused,1
415,Studying art has become increasingly worried,1
416,Studying art has become increasingly anxious,1
417,Studying art has become increasingly frustrated,1
418,Studying art has become increasingly discontented,1
419,Studying art has become increasingly hopeless,1
420,Studying art has become increasingly irate,1
421,Studying art has become increasingly melancholic,1
422,Studying economics has become increasingly unhappy,1
423,Studying economics has become increasingly stressed,1
424,Studying economics has become increasingly confused,1
425,Studying economics has become increasingly worried,1
426,Studying economics has become increasingly anxious,1
427,Studying economics has become increasingly frustrated,1
428,Studying economics has become increasingly discontented,1
429,Studying economics has become increasingly hopeless,1
430,Studying economics has become increasingly irate,1
431,Studying economics has become increasingly melancholic,1
432,Studying philosophy has become increasingly unhappy,1
433,Studying philosophy has become increasingly stressed,1
434,Studying philosophy has become increasingly confused,1
435,Studying philosophy has become increasingly worried,1
436,Studying philosophy has become increasingly anxious,1
437,Studying philosophy has become increasingly frustrated,1
438,Studying philosophy has become increasingly discontented,1
439,Studying philosophy has become increasingly hopeless,1
440,Studying philosophy has become increasingly irate,1
441,Studying philosophy has become increasingly melancholic,1
442,Studying geography has become increasingly unhappy,1
443,Studying geography has become increasingly stressed,1
444,Studying geography has become increasingly confused,1
445,Studying geography has become increasingly worried,1
446,Studying geography has become increasingly anxious,1
447,Studying geography has become increasingly frustrated,1
448,Studying geography has become increasingly discontented,1
449,Studying geography has become increasingly hopeless,1
450,Studying geography has become increasingly irate,1
451,Studying geography has become increasingly melancholic,1
452,Studying biology has become increasingly unhappy,1
453,Studying biology has become increasingly stressed,1
454,Studying biology has become increasingly confused,1
455,Studying biology has become increasingly worried,1
456,Studying biology has become increasingly anxious,1
457,Studying biology has become increasingly frustrated,1
458,Studying biology has become increasingly discontented,1
459,Studying biology has become increasingly hopeless,1
460,Studying biology has become increasingly irate,1
461,Studying biology has become increasingly melancholic,1
462,Studying physics has become increasingly unhappy,1
463,Studying physics has become increasingly stressed,1
464,Studying physics has become increasingly confused,1
465,Studying physics has become increasingly worried,1
466,Studying physics has become increasingly anxious,1
467,Studying physics has become increasingly frustrated,1
468,Studying physics has become increasingly discontented,1
469,Studying physics has become increasingly hopeless,1
470,Studying physics has become increasingly irate,1
471,Studying physics has become increasingly melancholic,1
472,I'm concerned my math skills aren't improving,1
473,I'm concerned my history skills aren't improving,1
474,I'm concerned my science skills aren't improving,1
475,I'm concerned my English skills aren't improving,1
476,I'm concerned my art skills aren't improving,1
477,I'm concerned my economics skills aren't improving,1
478,I'm concerned my philosophy skills aren't improving,1
479,I'm concerned my geography skills aren't improving,1
480,I'm concerned my biology skills aren't improving,1
481,I'm concerned my physics skills aren't improving,1
482,The thought of failing math makes me feel unhappy,1
483,The thought of failing math makes me feel stressed,1
484,The thought of failing math makes me feel confused,1
485,The thought of failing math makes me feel worried,1
486,The thought of failing math makes me feel anxious,1
487,The thought of failing math makes me feel frustrated,1
488,The thought of failing math makes me feel discontented,1
489,The thought of failing math makes me feel hopeless,1
490,The thought of failing math makes me feel irate,1
491,The thought of failing math makes me feel melancholic,1
492,The thought of failing history makes me feel unhappy,1
493,The thought of failing history makes me feel stressed,1
494,The thought of failing history makes me feel confused,1
495,The thought of failing history makes me feel worried,1
496,The thought of failing history makes me feel anxious,1
497,The thought of failing history makes me feel frustrated,1
498,The thought of failing history makes me feel discontented,1
499,The thought of failing history makes me feel hopeless,1
500,The thought of failing history makes me feel irate,1
501,The thought of failing history makes me feel melancholic,1
502,The thought of failing science makes me feel unhappy,1
503,The thought of failing science makes me feel stressed,1
504,The thought of failing science makes me feel confused,1
505,The thought of failing science makes me feel worried,1
506,The thought of failing science makes me feel anxious,1
507,The thought of failing science makes me feel frustrated,1
508,The thought of failing science makes me feel discontented,1
509,The thought of failing science makes me feel hopeless,1
510,The thought of failing science makes me feel irate,1
511,The thought of failing science makes me feel melancholic,1
512,The thought of failing English makes me feel unhappy,1
513,The thought of failing English makes me feel stressed,1
514,The thought of failing English makes me feel confused,1
515,The thought of failing English makes me feel worried,1
516,The thought of failing English makes me feel anxious,1
517,The thought of failing English makes me feel frustrated,1
518,The thought of failing English makes me feel discontented,1
519,The thought of failing English makes me feel hopeless,1
520,The thought of failing English makes me feel irate,1
521,The thought of failing English makes me feel melancholic,1
522,The thought of failing art makes me feel unhappy,1
523,The thought of failing art makes me feel stressed,1
524,The thought of failing art makes me feel confused,1
525,The thought of failing art makes me feel worried,1
526,The thought of failing art makes me feel anxious,1
527,The thought of failing art makes me feel frustrated,1
528,The thought of failing art makes me feel discontented,1
529,The thought of failing art makes me feel hopeless,1
530,The thought of failing art makes me feel irate,1
531,The thought of failing art makes me feel melancholic,1
532,The thought of failing economics makes me feel unhappy,1
533,The thought of failing economics makes me feel stressed,1
534,The thought of failing economics makes me feel confused,1
535,The thought of failing economics makes me feel worried,1
536,The thought of failing economics makes me feel anxious,1
537,The thought of failing economics makes me feel frustrated,1
538,The thought of failing economics makes me feel discontented,1
539,The thought of failing economics makes me feel hopeless,1
540,The thought of failing economics makes me feel irate,1
541,The thought of failing economics makes me feel melancholic,1
542,The thought of failing philosophy makes me feel unhappy,1
543,The thought of failing philosophy makes me feel stressed,1
544,The thought of failing philosophy makes me feel confused,1
545,The thought of failing philosophy makes me feel worried,1
546,The thought of failing philosophy makes me feel anxious,1
547,The thought of failing philosophy makes me feel frustrated,1
548,The thought of failing philosophy makes me feel discontented,1
549,The thought of failing philosophy makes me feel hopeless,1
550,The thought of failing philosophy makes me feel irate,1
551,The thought of failing philosophy makes me feel melancholic,1
552,The thought of failing geography makes me feel unhappy,1
553,The thought of failing geography makes me feel stressed,1
554,The thought of failing geography makes me feel confused,1
555,The thought of failing geography makes me feel worried,1
556,The thought of failing geography makes me feel anxious,1
557,The thought of failing geography makes me feel frustrated,1
558,The thought of failing geography makes me feel discontented,1
559,The thought of failing geography makes me feel hopeless,1
560,The thought of failing geography makes me feel irate,1
561,The thought of failing geography makes me feel melancholic,1
562,The thought of failing biology makes me feel unhappy,1
563,The thought of failing biology makes me feel stressed,1
564,The thought of failing biology makes me feel confused,1
565,The thought of failing biology makes me feel worried,1
566,The thought of failing biology makes me feel anxious,1
567,The thought of failing biology makes me feel frustrated,1
568,The thought of failing biology makes me feel discontented,1
569,The thought of failing biology makes me feel hopeless,1
570,The thought of failing biology makes me feel irate,1
571,The thought of failing biology makes me feel melancholic,1
572,The thought of failing physics makes me feel unhappy,1
573,The thought of failing physics makes me feel stressed,1
574,The thought of failing physics makes me feel confused,1
575,The thought of failing physics makes me feel worried,1
576,The thought of failing physics makes me feel anxious,1
577,The thought of failing physics makes me feel frustrated,1
578,The thought of failing physics makes me feel discontented,1
579,The thought of failing physics makes me feel hopeless,1
580,The thought of failing physics makes me feel irate,1
581,The thought of failing physics makes me feel melancholic,1
582,My math professor suggested I need extra help,1
583,My history professor suggested I need extra help,1
584,My science professor suggested I need extra help,1
585,My English professor suggested I need extra help,1
586,My art professor suggested I need extra help,1
587,My economics professor suggested I need extra help,1
588,My philosophy professor suggested I need extra help,1
589,My geography professor suggested I need extra help,1
590,My biology professor suggested I need extra help,1
591,My physics professor suggested I need extra help,1
592,I feel like I'm falling behind in math,1
593,I feel like I'm falling behind in history,1
594,I feel like I'm falling behind in science,1
595,I feel like I'm falling behind in English,1
596,I feel like I'm falling behind in art,1
597,I feel like I'm falling behind in economics,1
598,I feel like I'm falling behind in philosophy,1
599,I feel like I'm falling behind in geography,1
600,I feel like I'm falling behind in biology,1
601,I feel like I'm falling behind in physics,1
602,"No matter how much I study, math seems impossible",1
603,"No matter how much I study, history seems impossible",1
604,"No matter how much I study, science seems impossible",1
605,"No matter how much I study, English seems impossible",1
606,"No matter how much I study, art seems impossible",1
607,"No matter how much I study, economics seems impossible",1
608,"No matter how much I study, philosophy seems impossible",1
609,"No matter how much I study, geography seems impossible",1
610,"No matter how much I study, biology seems impossible",1
611,"No matter how much I study, physics seems impossible",1
612,I'm scared I won't graduate because of my math grades,1
613,I'm scared I won't graduate because of my history grades,1
614,I'm scared I won't graduate because of my science grades,1
615,I'm scared I won't graduate because of my English grades,1
616,I'm scared I won't graduate because of my art grades,1
617,I'm scared I won't graduate because of my economics grades,1
618,I'm scared I won't graduate because of my philosophy grades,1
619,I'm scared I won't graduate because of my geography grades,1
620,I'm scared I won't graduate because of my biology grades,1
621,I'm scared I won't graduate because of my physics grades,1
622,Every math class brings a sense of dread,1
623,Every history class brings a sense of dread,1
624,Every science class brings a sense of dread,1
625,Every English class brings a sense of dread,1
626,Every art class brings a sense of dread,1
627,Every economics class brings a sense of dread,1
628,Every philosophy class brings a sense of dread,1
629,Every geography class brings a sense of dread,1
630,Every biology class brings a sense of dread,1
631,Every physics class brings a sense of dread,1
632,I'm not grasping the concepts in math at all,1
633,I'm not grasping the concepts in history at all,1
634,I'm not grasping the concepts in science at all,1
635,I'm not grasping the concepts in English at all,1
636,I'm not grasping the concepts in art at all,1
637,I'm not grasping the concepts in economics at all,1
638,I'm not grasping the concepts in philosophy at all,1
639,I'm not grasping the concepts in geography at all,1
640,I'm not grasping the concepts in biology at all,1
641,I'm not grasping the concepts in physics at all,1
642,My performance in math is not what I hoped it would be,1
643,My performance in history is not what I hoped it would be,1
644,My performance in science is not what I hoped it would be,1
645,My performance in English is not what I hoped it would be,1
646,My performance in art is not what I hoped it would be,1
647,My performance in economics is not what I hoped it would be,1
648,My performance in philosophy is not what I hoped it would be,1
649,My performance in geography is not what I hoped it would be,1
650,My performance in biology is not what I hoped it would be,1
651,My performance in physics is not what I hoped it would be,1
652,Fearing the next math test keeps me up at night,1
653,Fearing the next history test keeps me up at night,1
654,Fearing the next science test keeps me up at night,1
655,Fearing the next English test keeps me up at night,1
656,Fearing the next art test keeps me up at night,1
657,Fearing the next economics test keeps me up at night,1
658,Fearing the next philosophy test keeps me up at night,1
659,Fearing the next geography test keeps me up at night,1
660,Fearing the next biology test keeps me up at night,1
661,Fearing the next physics test keeps me up at night,1
662,I get anxious just thinking about my math homework,1
663,I get anxious just thinking about my history homework,1
664,I get anxious just thinking about my science homework,1
665,I get anxious just thinking about my English homework,1
666,I get anxious just thinking about my art homework,1
667,I get anxious just thinking about my economics homework,1
668,I get anxious just thinking about my philosophy homework,1
669,I get anxious just thinking about my geography homework,1
670,I get anxious just thinking about my biology homework,1
671,I get anxious just thinking about my physics homework,1
672,Group projects in math make me feel unhappy,1
673,Group projects in math make me feel stressed,1
674,Group projects in math make me feel confused,1
675,Group projects in math make me feel worried,1
676,Group projects in math make me feel anxious,1
677,Group projects in math make me feel frustrated,1
678,Group projects in math make me feel discontented,1
679,Group projects in math make me feel hopeless,1
680,Group projects in math make me feel irate,1
681,Group projects in math make me feel melancholic,1
682,Group projects in history make me feel unhappy,1
683,Group projects in history make me feel stressed,1
684,Group projects in history make me feel confused,1
685,Group projects in history make me feel worried,1
686,Group projects in history make me feel anxious,1
687,Group projects in history make me feel frustrated,1
688,Group projects in history make me feel discontented,1
689,Group projects in history make me feel hopeless,1
690,Group projects in history make me feel irate,1
691,Group projects in history make me feel melancholic,1
692,Group projects in science make me feel unhappy,1
693,Group projects in science make me feel stressed,1
